ts_utc,source,universe,event_id,title,event_date,market_count,outcomes,is_binary_candidate,skip_binary_arb,reason
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN15IRINZL,IR Iran vs New Zealand,,3,Tie | New Zealand | IR Iran,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN15KSAURU,Saudi Arabia vs Uruguay,,3,Uruguay | Tie | Saudi Arabia,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN16ARGDZA,Argentina vs Algeria,,3,Tie | Algeria | Argentina,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN16FRASEN,France vs Senegal,,3,Tie | Senegal | France,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN16IRQNOR,Iraq vs Norway,,3,Tie | Norway | Iraq,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN17AUTJOR,Austria vs Jordan,,3,Tie | Jordan | Austria,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN17ENGCRO,England vs Croatia,,3,Tie | England | Croatia,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN17GHAPAN,Ghana vs Panama,,3,Tie | Panama | Ghana,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN17PORCOD,Portugal vs Congo DR,,3,Tie | Portugal | Congo DR,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN17UZBCOL,Uzbekistan vs Colombia,,3,Uzbekistan | Tie | Colombia,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN18CANQAT,Canada vs Qatar,,3,Tie | Qatar | Canada,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN18CZERSA,Czechia vs South Africa,,3,Tie | South Africa | Czechia,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN18MEXKOR,Mexico vs Korea Republic,,3,Tie | Mexico | Korea Republic,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,,3,Tie | Switzerland | Bosnia and Herzegovina,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN19BRAHTI,Brazil vs Haiti,,3,Tie | Haiti | Brazil,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN19SCOMAR,Scotland vs Morocco,,3,Tie | Scotland | Morocco,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN19TURPAR,Turkiye vs Paraguay,,3,Turkiye | Tie | Paraguay,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN19USAAUS,USA vs Australia,,3,USA | Tie | Australia,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN20ECUCUW,Ecuador vs Curacao,,3,Tie | Ecuador | Curacao,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
